"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"102_450.16_2.2",102,450.16078203111,2.17516120888889,"C23H26FN3O3"
"1061_253.12_2",1061,253.117907694129,1.96923951232877,"C12H16N2O4"
"1065_324.29_8.5",1065,324.289708196279,8.45008633675214,"C20H37NO2"
"1069_256.08_0.6",1069,256.081557228877,0.647622926785714,"C11H13NO6"
"107_206.07_4.4",107,206.066875117014,4.40490339268293,"C8H15NOS2"
"1075_165.08_0.7",1075,165.076191250928,0.650918970789474,"C6H14O6"
"1079_169.04_0.7",1079,169.035231928599,0.71277966959596,"C5H4N4O3"
"108_327.2_2.5",108,327.201207230802,2.48347954065041,"C14H30O8"
"112_611.16_2.5",112,611.16058050651,2.45369216666667,"C27H30O16"
"1125_910.52_4.5",1125,910.515510559082,4.4617588,"C47H75NO16"
"1146_411.31_9.3",1146,411.310826620015,9.2551295,"C24H42O5"
"1153_181.05_2.7",1153,181.049579567816,2.67387947361111,"C9H8O4"
"1174_253.15_1.5",1174,253.154213691371,1.54004944516129,"C13H20N2O3"
"1175_359.18_2.2",1175,359.181689140343,2.21792776666667,"C15H24N6O3"
"1182_207.07_3.2",1182,207.065129340993,3.21788786962025,"C11H12O5"
"1198_326.31_9.1",1198,326.305419013977,9.07401495238095,"C20H39NO2"
"1203_252.09_2.8",1203,252.086626154267,2.75434862368421,"C12H13NO5"
"1208_309.17_5.8",1208,309.169446703521,5.83171625641025,"C17H24O5"
"1212_357.14_3.2",1212,357.144916262299,3.2314189875,"C19H20N2O5"
"1215_204.12_1.5",1215,204.123095635276,1.46682972909091,"C9H17NO4"
"1224_345.19_2.9",1224,345.190773703835,2.89813385,"C17H28O7"
"1226_616.26_3.9",1226,616.264800228888,3.92590838157895,"C34H37N3O8"
"1229_218.1_2.7",1229,218.102292785786,2.714735276,"C9H15NO5"
"1241_314.14_3.8",1241,314.138530854348,3.80312809032258,"C18H19NO4"
"125_235.14_2",125,235.144155275142,2.028503434,"C13H18N2O2"
"1254_373.11_2.9",1254,373.113058665506,2.8862787047619,"C16H20O10"
"127_510.36_8.3",127,510.35582641803,8.310944083,"C25H52NO7P"
"1270_189.16_1.5",1270,189.159654639545,1.48040168850575,"C9H20N2O2"
"1311_398.23_9",1311,398.232761383819,8.95504702727273,"C24H31NO4"
"1319_926.51_4.4",1319,926.510385513306,4.41073258125,"C47H75NO17"
"1333_144.08_2.3",1333,144.080919447461,2.27870438631579,"C10H11NO"
"1334_248.11_6",1334,248.113795043383,5.96729575625,"C11H21NOS2"
"134_382.13_3.2",134,382.128756356891,3.17559485294118,"C21H21NO7"
"1350_416.26_3.5",1350,416.264157440002,3.48828822465753,"C21H37NO7"
"1360_426.3_6.3",1360,426.299642389859,6.28840260909091,"C27H41NO4"
"1364_344.28_6.2",1364,344.279511262268,6.18367440166667,"C19H37NO4"
"138_174.19_3.8",138,174.185271153703,3.83084842295082,"C10H23NO"
"1384_208.13_2.5",1384,208.133094664106,2.47776720487805,"C12H17NO2"
"1394_296.07_0.6",1394,296.065991516534,0.5886312496,"C8H20NO6P"
"140_366.3_8.6",140,366.300443420637,8.561271992,"C22H39NO3"
"1407_175.12_1.5",1407,175.118965149234,1.45296909902913,"C6H14N4O2"
"1413_416.26_3.6",1413,416.264404961684,3.59871218695652,"C21H37NO7"
"1414_280.09_0.6",1414,280.091971328826,0.62496939,"C8H20NO6P"
"1416_518.36_8.4",1416,518.358432545381,8.41189657647059,"C25H54NO6P"
"1419_166.09_1.6",1419,166.08626568802,1.59091724796748,"C9H11NO2"
"1421_343.13_2.7",1421,343.129498436425,2.7452316984127,"C13H24N2O5S"
"1424_319.04_2.7",1424,319.043639592895,2.74071934285714,"C15H10O8"
"1489_496.34_7.4",1489,496.339917724888,7.3822103173913,"C24H50NO7P"
"1498_324.29_7.2",1498,324.289568584005,7.24981708550725,"C20H37NO2"
"1512_169.04_1.5",1512,169.035348604007,1.45120235909091,"C5H4N4O3"
"1514_326.23_4.5",1514,326.232459641309,4.45305856,"C18H31NO4"
"1518_317.12_2.5",1518,317.120990561608,2.51703164745763,"C12H22O8"
"1543_137.06_1.6",1543,137.059743431676,1.55605614308943,"C8H10O3"
"1563_175.14_0.6",1563,175.144122210765,0.611494885227272,"C8H18N2O2"
"1577_234.1_4.3",1577,234.097289604869,4.28225900731707,"C10H19NOS2"
"1590_520.34_7.3",1590,520.339822624683,7.32723695982906,"C26H50NO7P"
"1602_278.22_2.2",1602,278.222565973501,2.16185185,"C16H27N3O"
"1612_297.1_3.3",1612,297.097952587538,3.28773680186916,"C14H18O8"
"1614_168.05_0.8",1614,168.05153760216,0.820224932878788,"C5H5N5O2"
"1624_221.16_2.3",1624,221.164914133733,2.29959704166667,"C13H20N2O"
"1642_163.04_1.9",1642,163.038933781394,1.93109927606838,"C9H8O4"
"1643_350.22_2.8",1643,350.217694420929,2.83238744285714,"C17H29N5O4"
"1646_435.13_3.5",1646,435.128284455719,3.48308528,"C21H22O10"
"1652_418.28_3.6",1652,418.279698054835,3.62191230694444,"C21H39NO7"
"1655_182.08_1.5",1655,182.081184015451,1.50177905853659,"C9H11NO3"
"1682_273.08_4.5",1682,273.075786450137,4.48469088518519,"C15H12O5"
"1686_316.28_6.8",1686,316.28466812073,6.81848947352941,"C18H37NO3"
"1690_195.07_2.1",1690,195.065298999988,2.13894350092593,"C10H12O5"
"17_456.35_4.4",17,456.347253238454,4.40982268235294,"C29H45NO3"
"1715_273.08_3.5",1715,273.075675060607,3.47707523050847,"C15H12O5"
"173_338.14_6.8",173,338.138733546855,6.8473413,"C20H21NO5"
"1731_307.21_5.9",1731,307.205629685383,5.86025774264706,"C22H28O2"
"1732_162.11_1.5",1732,162.112433345139,1.51090215982906,"C7H15NO3"
"1761_330.13_3.1",1761,330.133949612374,3.12415747826087,"C18H19NO5"
"1781_340.21_3.9",1781,340.211720674935,3.93864570434783,"C18H29NO5"
"1783_222.03_0.6",1783,222.028994382441,0.598433035274725,"C5H14NO4P"
"1793_328.25_5.3",1793,328.248504272126,5.29324216116505,"C18H35NO5"
